ESTADO_DATO;TERRITORIO;CAT_HOTELES;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ;PARQUES_TURISMO
A;ES611;62148;2015;55565;VIAJEROS;44963.866654849;A;
A;ES611;62148;2015;55697;VIAJEROS;12192.694186358;A;
A;ES611;62148;2014;55698;VIAJEROS;64029.714285442;A;
A;ES611;62148;2014;55565;VIAJEROS;49114.85714255;A;
A;ES611;62148;2014;55697;VIAJEROS;14914.857142892;A;
A;ES611;62148;2013;55698;VIAJEROS;66525.66;A;
A;ES611;62148;2013;55565;VIAJEROS;48527.06;A;
A;ES611;62148;2013;55697;VIAJEROS;17998.6;A;
A;ES611;62148;2012;55698;VIAJEROS;59305.75;A;
A;ES611;62148;2012;55565;VIAJEROS;44906.65;A;
A;ES611;62148;2012;55697;VIAJEROS;14399.1;A;
A;ES611;62148;2011;55698;VIAJEROS;64713.4;A;
A;ES611;62148;2011;55565;VIAJEROS;49397.73;A;
A;ES611;62148;2011;55697;VIAJEROS;15315.67;A;
A;ES611;62148;2010;55698;VIAJEROS;66435.23;A;
A;ES611;62148;2010;55565;VIAJEROS;51580.87;A;
A;ES611;62148;2010;55697;VIAJEROS;14854.36;A;
A;ES611;62148;2009;55698;VIAJEROS;73912.67;A;
A;ES611;62148;2009;55565;VIAJEROS;54259.94;A;
A;ES611;62148;2009;55697;VIAJEROS;19652.73;A;
A;ES611;62148;2008;55698;VIAJEROS;79238.77;A;
A;ES611;62148;2008;55565;VIAJEROS;59932.11;A;
A;ES611;62148;2008;55697;VIAJEROS;19306.66;A;
A;ES611;62145;2020;55698;VIAJEROS;13028.985025096;A;
A;ES611;62145;2020;55565;VIAJEROS;10398.28873479;A;
A;ES611;62145;2020;55697;VIAJEROS;2630.696290306;A;
A;ES611;62145;2019;55698;VIAJEROS;20403.142857144;A;
A;ES611;62145;2019;55565;VIAJEROS;15029.285714286;A;
A;ES611;62145;2019;55697;VIAJEROS;5373.857142858;A;
A;ES611;62145;2018;55698;VIAJEROS;18482.495440703;A;
A;ES611;62145;2018;55565;VIAJEROS;13741.893616979;A;
A;ES611;62145;2018;55697;VIAJEROS;4740.601823724;A;
A;ES611;62145;2017;55698;VIAJEROS;15297.142857211;A;
A;ES611;62145;2017;55565;VIAJEROS;12149.428571505;A;
A;ES611;62145;2017;55697;VIAJEROS;3147.714285706;A;
A;ES611;62145;2016;55698;VIAJEROS;15229.28571421;A;
A;ES611;62145;2016;55565;VIAJEROS;11555.714285637;A;
A;ES611;62145;2016;55697;VIAJEROS;3673.571428573;A;
A;ES611;62145;2015;55698;VIAJEROS;12541.142857178;A;
A;ES611;62145;2015;55565;VIAJEROS;10011.428571467;A;
A;ES611;62145;2015;55697;VIAJEROS;2529.714285711;A;
A;ES611;62145;2014;55698;VIAJEROS;8776.999999958;A;
A;ES611;62145;2014;55565;VIAJEROS;7054.99999996;A;
A;ES611;62145;2014;55697;VIAJEROS;1721.999999998;A;
