TEMPORAL;CNO11;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007;6727;_T;ES61;TASA_SALA;82.28011607203527;M
2008;6727;M;ES61;TASA_SALA;79.3751794902421;M
2008;6727;F;ES61;TASA_SALA;86.07385783915556;M
2008;6727;_T;ES61;TASA_SALA;82.04525847934278;M
2009;6727;M;ES61;TASA_SALA;78.5020012246918;M
2009;6727;F;ES61;TASA_SALA;86.30228815613619;M
2009;6727;_T;ES61;TASA_SALA;81.75881352700011;M
2010;6038;M;ES61;TASA_SALA;36.225180655709686;M
2010;6038;F;ES61;TASA_SALA;37.30352728289781;M
2010;6038;_T;ES61;TASA_SALA;36.51357517051081;M
2010;6203;M;ES61;TASA_SALA;81.05251582008363;M
2010;6203;F;ES61;TASA_SALA;89.54351076978575;M
2010;6203;_T;ES61;TASA_SALA;85.57019839005572;M
2010;6333;M;ES61;TASA_SALA;87.09539265602892;M
2010;6333;F;ES61;TASA_SALA;92.44231236086749;M
2010;6333;_T;ES61;TASA_SALA;89.30002246703326;M
2010;6375;M;ES61;TASA_SALA;95.26862995820574;M
2010;6375;F;ES61;TASA_SALA;95.82902571688192;M
2010;6375;_T;ES61;TASA_SALA;95.60897155823878;M
2010;6463;M;ES61;TASA_SALA;72.56376364341698;M
2010;6463;F;ES61;TASA_SALA;80.99589627405119;M
2010;6463;_T;ES61;TASA_SALA;77.32105440927671;M
2010;6489;M;ES61;TASA_SALA;47.53525268736164;M
2010;6489;F;ES61;TASA_SALA;22.24591906778248;M
2010;6489;_T;ES61;TASA_SALA;44.41793376856325;M
2010;6601;M;ES61;TASA_SALA;80.18444545271603;M
2010;6601;F;ES61;TASA_SALA;86.47260516762465;M
2010;6601;_T;ES61;TASA_SALA;80.59763436943297;M
2010;6667;M;ES61;TASA_SALA;83.97981262545673;M
2010;6667;F;ES61;TASA_SALA;95.53371804462681;M
2010;6667;_T;ES61;TASA_SALA;84.91134846646727;M
2010;6726;M;ES61;TASA_SALA;96.4316881096073;M
2010;6726;F;ES61;TASA_SALA;97.63644363163253;M
2010;6726;_T;ES61;TASA_SALA;97.0850254924466;M
2010;5989;M;ES61;TASA_SALA;100.0;M
2010;5989;F;ES61;TASA_SALA;100.0;M
2010;5989;_T;ES61;TASA_SALA;100.0;M
2010;6727;M;ES61;TASA_SALA;79.38027947321818;M
2010;6727;F;ES61;TASA_SALA;87.3815592626954;M
2010;6727;_T;ES61;TASA_SALA;82.79405345870259;M
2011;6038;M;ES61;TASA_SALA;41.74523613589972;M
2011;6038;F;ES61;TASA_SALA;47.54906431265971;M
2011;6038;_T;ES61;TASA_SALA;43.38874163900263;M
2011;6203;M;ES61;TASA_SALA;82.26416785718239;M
2011;6203;F;ES61;TASA_SALA;90.63021118511274;M
2011;6203;_T;ES61;TASA_SALA;86.77620602637012;M
2011;6333;M;ES61;TASA_SALA;86.57590226944122;M
2011;6333;F;ES61;TASA_SALA;89.80284078107542;M
2011;6333;_T;ES61;TASA_SALA;87.72166858917726;M
